,Trend Direction,Start Date,End Date
379,Bearish,29 Oct 1990,02 Nov 1990
380,Bullish,02 Nov 1990,02 Jan 1991
381,Bearish,02 Jan 1991,09 Jan 1991
382,No Trend,09 Jan 1991,10 Jan 1991
383,Bearish,10 Jan 1991,17 Jan 1991
384,Bullish,17 Jan 1991,29 Jan 1991
385,No Trend,29 Jan 1991,14 Feb 1991
386,Bullish,14 Feb 1991,15 Feb 1991
387,No Trend,15 Feb 1991,20 Feb 1991
388,Bullish,20 Feb 1991,19 Mar 1991
389,Bearish,19 Mar 1991,26 Mar 1991
390,Bullish,26 Mar 1991,25 Apr 1991
391,Bearish,25 Apr 1991,09 May 1991
392,Bullish,09 May 1991,10 May 1991
393,Bearish,10 May 1991,24 May 1991
394,Bullish,24 May 1991,10 Jun 1991
395,Bearish,10 Jun 1991,02 Jul 1991
396,Bullish,02 Jul 1991,03 Jul 1991
397,Bearish,03 Jul 1991,08 Jul 1991
398,Bullish,08 Jul 1991,19 Aug 1991
399,Bearish,19 Aug 1991,22 Aug 1991
400,Bullish,22 Aug 1991,05 Sep 1991
401,Bearish,05 Sep 1991,01 Oct 1991
402,Bullish,01 Oct 1991,03 Oct 1991
403,Bearish,03 Oct 1991,15 Oct 1991
404,Bullish,15 Oct 1991,24 Oct 1991
405,Bearish,24 Oct 1991,28 Oct 1991
406,Bullish,28 Oct 1991,15 Nov 1991
407,Bearish,15 Nov 1991,12 Dec 1991
408,Bullish,12 Dec 1991,26 Dec 1991
409,No Trend,26 Dec 1991,16 Jan 1992
410,Bullish,16 Jan 1992,24 Jan 1992
411,Bearish,24 Jan 1992,11 Feb 1992
412,Bullish,11 Feb 1992,18 Feb 1992
413,Bearish,18 Feb 1992,26 Feb 1992
414,Bullish,26 Feb 1992,04 Mar 1992
415,Bearish,04 Mar 1992,18 Mar 1992
416,Bullish,18 Mar 1992,26 Mar 1992
417,Bearish,26 Mar 1992,13 Apr 1992
418,Bullish,13 Apr 1992,15 May 1992
419,Bearish,15 May 1992,20 May 1992
420,Bullish,20 May 1992,21 May 1992
421,Bearish,21 May 1992,28 May 1992
422,Bullish,28 May 1992,04 Jun 1992
423,Bearish,04 Jun 1992,30 Jun 1992
424,Bullish,30 Jun 1992,22 Jul 1992
425,Bearish,22 Jul 1992,28 Jul 1992
426,Bullish,28 Jul 1992,12 Aug 1992
427,Bearish,12 Aug 1992,17 Aug 1992
428,Bullish,17 Aug 1992,19 Aug 1992
429,Bearish,19 Aug 1992,24 Aug 1992
430,No Trend,24 Aug 1992,25 Aug 1992
